VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,02/04/2020 01:53:41 AM,02/04/2020 02:05:48 AM,N,1,181,89,1,3.13,12,0.5,0.5,0,0,,0.3,13.3,2,1,0
2,02/04/2020 01:54:15 AM,02/04/2020 02:13:56 AM,N,1,134,83,5,7.32,23,0.5,0.5,0,0,,0.3,24.3,2,1,0
2,02/04/2020 01:54:27 AM,02/04/2020 01:58:27 AM,N,1,179,7,1,0.89,5,0.5,0.5,1.26,0,,0.3,7.56,1,1,0
2,02/04/2020 01:54:52 AM,02/04/2020 02:01:32 AM,N,1,134,197,1,1.67,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,0
,02/04/2020 01:55:00 AM,02/04/2020 02:31:00 AM,,,215,228,,19.41,63.89,2.75,0,0,0,,0.3,66.94,,,
2,02/04/2020 01:55:08 AM,02/04/2020 02:08:45 AM,N,1,42,4,1,7.91,23,0.5,0.5,2,0,,0.3,29.05,1,1,2.75
2,02/04/2020 01:55:41 AM,02/04/2020 02:04:21 AM,N,1,146,226,1,1.47,8,0.5,0.5,0,0,,0.3,9.3,2,1,0
2,02/04/2020 01:56:16 AM,02/04/2020 02:19:59 AM,N,1,181,14,1,4.41,18,0.5,0.5,20,0,,0.3,39.3,1,1,0
2,02/04/2020 01:56:19 AM,02/04/2020 02:01:51 AM,N,1,74,41,1,1.16,6.5,0.5,0.5,1.56,0,,0.3,9.36,1,1,0
1,02/04/2020 01:56:32 AM,02/04/2020 02:25:46 AM,N,1,92,92,1,11.9,36.5,0.5,0.5,0,0,,0.3,37.8,2,1,0
,02/04/2020 01:57:00 AM,02/04/2020 02:07:00 AM,,,32,78,,2.65,18.59,2.75,0,0,0,,0.3,21.64,,,
2,02/04/2020 01:58:43 AM,02/04/2020 02:05:35 AM,N,1,179,193,2,1.85,8,0.5,0.5,0.08,0,,0.3,9.38,1,1,0
1,02/04/2020 01:58:47 AM,02/04/2020 02:10:30 AM,N,1,255,97,2,2.8,11,0.5,0.5,2.45,0,,0.3,14.75,1,1,0
1,02/04/2020 01:59:06 AM,02/04/2020 02:08:29 AM,N,1,260,82,1,2.3,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,02/04/2020 02:00:21 AM,02/04/2020 02:13:19 AM,N,1,82,70,1,1.72,10,0.5,0.5,0,0,,0.3,11.3,2,1,0
2,02/04/2020 02:00:25 AM,02/04/2020 02:06:01 AM,N,1,42,116,1,1.24,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
2,02/04/2020 02:00:50 AM,02/04/2020 02:07:08 AM,N,1,82,82,1,1.43,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
2,02/04/2020 02:00:51 AM,02/04/2020 02:14:13 AM,N,1,181,14,1,5.72,18,0.5,0.5,4.82,0,,0.3,24.12,1,1,0
2,02/04/2020 02:01:09 AM,02/04/2020 02:04:32 AM,N,1,97,49,1,0.66,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,02/04/2020 02:01:52 AM,02/04/2020 02:17:10 AM,N,1,74,74,1,2.06,12,0.5,0.5,2.7,0,,0.3,16,1,1,0
,02/04/2020 02:02:00 AM,02/04/2020 02:24:00 AM,,,244,137,,9.13,37.09,2.75,0,0,0,,0.3,40.14,,,
2,02/04/2020 02:02:25 AM,02/04/2020 02:06:16 AM,N,1,244,243,5,1.39,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,02/04/2020 02:04:15 AM,02/04/2020 02:06:21 AM,N,1,42,69,1,0.85,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,02/04/2020 02:04:26 AM,02/04/2020 02:06:49 AM,N,1,260,82,1,0.42,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,0
2,02/04/2020 02:04:27 AM,02/04/2020 02:12:17 AM,N,1,83,260,1,1.37,7.5,0.5,0.5,1.76,0,,0.3,10.56,1,1,0
2,02/04/2020 02:04:30 AM,02/04/2020 02:49:16 AM,N,1,18,265,1,23.91,67,0.5,0.5,0,6.12,,0.3,74.42,1,1,0
2,02/04/2020 02:04:34 AM,02/04/2020 02:18:33 AM,N,1,129,234,6,6.25,19.5,0.5,0.5,1,6.12,,0.3,30.67,1,1,2.75
2,02/04/2020 02:07:44 AM,02/04/2020 02:12:40 AM,N,1,82,129,2,0.93,5.5,0.5,0.5,1,0,,0.3,7.8,1,1,0
2,02/04/2020 02:08:36 AM,02/04/2020 02:14:00 AM,N,1,129,129,1,1.12,6,0.5,0.5,1.46,0,,0.3,8.76,1,1,0
2,02/04/2020 02:08:54 AM,02/04/2020 02:12:46 AM,N,1,179,7,1,0.84,5,0.5,0.5,1.58,0,,0.3,7.88,1,1,0
